family,genus,species
Pinaceae,Abies,Abies alba
Sapindaceae,Acer,Acer campestre
Sapindaceae,Acer,Acer platanoides
Sapindaceae,Acer,Acer pseudoplatanus
Asteraceae,Achillea,Achillea millefolium
Asteraceae,Achillea,Achillea ptarmica
Apiaceae,Aegopodium,Aegopodium podagraria
Rosaceae,Agrimonia,Agrimonia eupatoria
Poaceae,Agrostis,Agrostis capillaris
Poaceae,Agrostis,Agrostis gigantea
Poaceae,Agrostis,Agrostis stolonifera
Lamiaceae,Ajuga,Ajuga reptans
Alismataceae,Alisma,Alisma plantago-aquatica
Brassicaceae,Alliaria,Alliaria petiolata
Amaryllidaceae,Allium,Allium oleraceum
Betulaceae,Alnus,Alnus glutinosa
Betulaceae,Alnus,Alnus incana
Poaceae,Alopecurus,Alopecurus geniculatus
Poaceae,Alopecurus,Alopecurus pratensis
Ranunculaceae,Anemone,Anemone nemorosa
Ranunculaceae,Anemone,Anemone ranunculoides
Apiaceae,Angelica,Angelica sylvestris
Poaceae,Anthoxanthum,Anthoxanthum odoratum
Apiaceae,Anthriscus,Anthriscus sylvestris
Caryophyllaceae,Arenaria,Arenaria serpyllifolia
Rosaceae,Argentina,Argentina anserina
Poaceae,Arrhenatherum,Arrhenatherum elatius
Athyriaceae,Athyrium,Athyrium filix-femina
Asteraceae,Bellis,Bellis perennis
Betulaceae,Betula,Betula pubescens
Cyperaceae,Blysmus,Blysmus compressus
Poaceae,Brachypodium,Brachypodium sylvaticum
Brachytheciaceae,Brachythecium,Brachythecium rutabulum
Poaceae,Calamagrostis,Calamagrostis canescens
Pylaisiaceae,Calliergonella,Calliergonella cuspidata
Ranunculaceae,Caltha,Caltha palustris
Convolvulaceae,Calystegia,Calystegia sepium
Campanulaceae,Campanula,Campanula rotundifolia
Brassicaceae,Capsella,Capsella bursa-pastoris
Brassicaceae,Cardamine,Cardamine amara
Brassicaceae,Cardamine,Cardamine pratensis
Cyperaceae,Carex,Carex acuta
Cyperaceae,Carex,Carex acutiformis
Cyperaceae,Carex,Carex cespitosa
Cyperaceae,Carex,Carex disticha
Cyperaceae,Carex,Carex divulsa
Cyperaceae,Carex,Carex echinata
Cyperaceae,Carex,Carex elata
Cyperaceae,Carex,Carex hirta
Cyperaceae,Carex,Carex leporina
Cyperaceae,Carex,Carex nigra
Cyperaceae,Carex,Carex paniculata
Cyperaceae,Carex,Carex remota
Cyperaceae,Carex,Carex riparia
Cyperaceae,Carex,Carex rostrata
Cyperaceae,Carex,Carex sylvatica
Cyperaceae,Carex,Carex vesicaria
Betulaceae,Carpinus,Carpinus betulus
Asteraceae,Centaurea,Centaurea jacea
Asteraceae,Centaurea,Centaurea scabiosa
Caryophyllaceae,Cerastium,Cerastium fontanum
Caryophyllaceae,Cerastium,Cerastium holosteoides
Apiaceae,Chaerophyllum,Chaerophyllum temulum
Onagraceae,Chamaenerion,Chamaenerion angustifolium
Saxifragaceae,Chrysosplenium,Chrysosplenium alternifolium
Saxifragaceae,Chrysosplenium,Chrysosplenium oppositifolium
Asteraceae,Cichorium,Cichorium intybus
Apiaceae,Cicuta,Cicuta virosa
Onagraceae,Circaea,Circaea lutetiana
Asteraceae,Cirsium,Cirsium arvense
Asteraceae,Cirsium,Cirsium oleraceum
Asteraceae,Cirsium,Cirsium palustre
Climaciaceae,Climacium,Climacium dendroides
Betulaceae,Corylus,Corylus avellana
Rosaceae,Crataegus,Crataegus laevigata
Rosaceae,Crataegus,Crataegus monogyna
Asteraceae,Crepis,Crepis paludosa
Poaceae,Cynosurus,Cynosurus cristatus
Poaceae,Dactylis,Dactylis glomerata
Orchidaceae,Dactylorhiza,Dactylorhiza incarnata
Orchidaceae,Dactylorhiza,Dactylorhiza majalis
Poaceae,Deschampsia,Deschampsia cespitosa
Brassicaceae,Draba,Draba verna
Dryopteridaceae,Dryopteris,Dryopteris carthusiana
Dryopteridaceae,Dryopteris,Dryopteris dilatata
Dryopteridaceae,Dryopteris,Dryopteris filix-mas
Onagraceae,Epilobium,Epilobium hirsutum
Onagraceae,Epilobium,Epilobium montanum
Onagraceae,Epilobium,Epilobium palustre
Onagraceae,Epilobium,Epilobium parviflorum
Orchidaceae,Epipactis,Epipactis helleborine
Equisetaceae,Equisetum,Equisetum arvense
Equisetaceae,Equisetum,Equisetum fluviatile
Equisetaceae,Equisetum,Equisetum palustre
Equisetaceae,Equisetum,Equisetum pratense
Equisetaceae,Equisetum,Equisetum sylvaticum
Cyperaceae,Eriophorum,Eriophorum angustifolium
Celastraceae,Euonymus,Euonymus europaeus
Asteraceae,Eupatorium,Eupatorium cannabinum
Fagaceae,Fagus,Fagus sylvatica
Poaceae,Festuca,Festuca rubra
Ranunculaceae,Ficaria,Ficaria verna
Rosaceae,Filipendula,Filipendula ulmaria
Oleaceae,Fraxinus,Fraxinus excelsior
Rubiaceae,Galium,Galium aparine
Rubiaceae,Galium,Galium mollugo
Rubiaceae,Galium,Galium odoratum
Rubiaceae,Galium,Galium palustre
Rubiaceae,Galium,Galium verum
Geraniaceae,Geranium,Geranium molle
Geraniaceae,Geranium,Geranium robertianum
Rosaceae,Geum,Geum rivale
Rosaceae,Geum,Geum urbanum
Lamiaceae,Glechoma,Glechoma hederacea
Poaceae,Glyceria,Glyceria fluitans
Araliaceae,Hedera,Hedera helix
Apiaceae,Heracleum,Heracleum mantegazzianum
Apiaceae,Heracleum,Heracleum sphondylium
Poaceae,Holcus,Holcus lanatus
Poaceae,Holcus,Holcus mollis
Poaceae,Hordelymus,Hordelymus europaeus
Primulaceae,Hottonia,Hottonia palustris
Cannabaceae,Humulus,Humulus lupulus
Hypericaceae,Hypericum,Hypericum perforatum
Hypericaceae,Hypericum,Hypericum tetrapterum
Asteraceae,Hypochaeris,Hypochaeris radicata
Balsaminaceae,Impatiens,Impatiens noli-tangere
Balsaminaceae,Impatiens,Impatiens parviflora
Iridaceae,Iris,Iris pseudacorus
Juncaceae,Juncus,Juncus bufonius
Juncaceae,Juncus,Juncus conglomeratus
Juncaceae,Juncus,Juncus effusus
Caprifoliaceae,Knautia,Knautia arvensis
Asteraceae,Lapsana,Lapsana communis
Orobanchaceae,Lathraea,Lathraea squamaria
Fabaceae,Lathyrus,Lathyrus pratensis
Fabaceae,Lathyrus,Lathyrus sylvestris
Araceae,Lemna,Lemna minor
Poaceae,Lolium,Lolium giganteum
Poaceae,Lolium,Lolium pratense
Caprifoliaceae,Lonicera,Lonicera periclymenum
Caprifoliaceae,Lonicera,Lonicera xylosteum
Fabaceae,Lotus,Lotus corniculatus
Juncaceae,Luzula,Luzula campestris
Juncaceae,Luzula,Luzula multiflora
Juncaceae,Luzula,Luzula pilosa
Lamiaceae,Lycopus,Lycopus europaeus
Primulaceae,Lysimachia,Lysimachia nummularia
Primulaceae,Lysimachia,Lysimachia thyrsiflora
Primulaceae,Lysimachia,Lysimachia vulgaris
Lythraceae,Lythrum,Lythrum salicaria
Asteraceae,Matricaria,Matricaria discoidea
Fabaceae,Medicago,Medicago lupulina
Poaceae,Melica,Melica uniflora
Lamiaceae,Mentha,Mentha aquatica
Menyanthaceae,Menyanthes,Menyanthes trifoliata
Euphorbiaceae,Mercurialis,Mercurialis perennis
Poaceae,Milium,Milium effusum
Boraginaceae,Myosotis,Myosotis laxa
Boraginaceae,Myosotis,Myosotis scorpioides
Melanthiaceae,Paris,Paris quadrifolia
Poaceae,Phleum,Phleum pratense
Poaceae,Phragmites,Phragmites australis
Pinaceae,Picea,Picea abies
Pinaceae,Picea,Picea sitchensis
Lentibulariaceae,Pinguicula,Pinguicula vulgaris
Mniaceae,Plagiomnium,Plagiomnium undulatum
Plantaginaceae,Plantago,Plantago lanceolata
Plantaginaceae,Plantago,Plantago major
Poaceae,Poa,Poa annua
Poaceae,Poa,Poa nemoralis
Poaceae,Poa,Poa pratensis
Poaceae,Poa,Poa trivialis
Asparagaceae,Polygonatum,Polygonatum multiflorum
Polygonaceae,Polygonum,Polygonum aviculare
Salicaceae,Populus,Populus tremula
Potamogetonaceae,Potamogeton,Potamogeton natans
Rosaceae,Potentilla,Potentilla reptans
Lamiaceae,Prunella,Prunella vulgaris
Rosaceae,Prunus,Prunus avium
Rosaceae,Prunus,Prunus cerasifera
Rosaceae,Prunus,Prunus padus
Rosaceae,Prunus,Prunus spinosa
Fagaceae,Quercus,Quercus robur
Caryophyllaceae,Rabelera,Rabelera holostea
Ranunculaceae,Ranunculus,Ranunculus acris
Ranunculaceae,Ranunculus,Ranunculus auricomus
Ranunculaceae,Ranunculus,Ranunculus bulbosus
Ranunculaceae,Ranunculus,Ranunculus flammula
Ranunculaceae,Ranunculus,Ranunculus repens
Ranunculaceae,Ranunculus,Ranunculus sceleratus
Polygonaceae,Reynoutria,Reynoutria japonica
Hylocomiaceae,Rhytidiadelphus,Rhytidiadelphus squarrosus
Grossulariaceae,Ribes,Ribes nigrum
Grossulariaceae,Ribes,Ribes spicatum
Grossulariaceae,Ribes,Ribes uva-crispa
Rosaceae,Rosa,Rosa canina
Rosaceae,Rosa,Rosa dumalis
Rosaceae,Rubus,Rubus caesius
Rosaceae,Rubus,Rubus idaeus
Polygonaceae,Rumex,Rumex acetosa
Polygonaceae,Rumex,Rumex acetosella
Polygonaceae,Rumex,Rumex crispus
Polygonaceae,Rumex,Rumex obtusifolius
Polygonaceae,Rumex,Rumex sanguineus
Polygonaceae,Rumex,Rumex thyrsiflorus
Salicaceae,Salix,Salix caprea
Salicaceae,Salix,Salix cinerea
Salicaceae,Salix,Salix pentandra
Viburnaceae,Sambucus,Sambucus nigra
Saxifragaceae,Saxifraga,Saxifraga granulata
Cyperaceae,Scirpus,Scirpus sylvaticus
Asteraceae,Scorzoneroides,Scorzoneroides autumnalis
Scrophulariaceae,Scrophularia,Scrophularia nodosa
Lamiaceae,Scutellaria,Scutellaria galericulata
Asteraceae,Senecio,Senecio vulgaris
Caryophyllaceae,Silene,Silene dioica
Caryophyllaceae,Silene,Silene flos-cuculi
Solanaceae,Solanum,Solanum dulcamara
Asteraceae,Solidago,Solidago virgaurea
Asteraceae,Sonchus,Sonchus asper
Rosaceae,Sorbus,Sorbus aucuparia
Araceae,Spirodela,Spirodela polyrhiza
Lamiaceae,Stachys,Stachys palustris
Lamiaceae,Stachys,Stachys sylvatica
Caryophyllaceae,Stellaria,Stellaria alsine
Caryophyllaceae,Stellaria,Stellaria graminea
Caryophyllaceae,Stellaria,Stellaria palustris
Caprifoliaceae,Succisa,Succisa pratensis
Asteraceae,Tanacetum,Tanacetum vulgare
Fabaceae,Trifolium,Trifolium dubium
Fabaceae,Trifolium,Trifolium medium
Fabaceae,Trifolium,Trifolium pratense
Fabaceae,Trifolium,Trifolium repens
Juncaginaceae,Triglochin,Triglochin palustris
Ranunculaceae,Trollius,Trollius europaeus
Asteraceae,Tussilago,Tussilago farfara
Typhaceae,Typha,Typha latifolia
Ulmaceae,Ulmus,Ulmus glabra
Urticaceae,Urtica,Urtica dioica
Caprifoliaceae,Valeriana,Valeriana dioica
Caprifoliaceae,Valeriana,Valeriana sambucifolia
Plantaginaceae,Veronica,Veronica beccabunga
Plantaginaceae,Veronica,Veronica chamaedrys
Plantaginaceae,Veronica,Veronica montana
Plantaginaceae,Veronica,Veronica officinalis
Plantaginaceae,Veronica,Veronica serpyllifolia
Viburnaceae,Viburnum,Viburnum opulus
Fabaceae,Vicia,Vicia cracca
Fabaceae,Vicia,Vicia sativa
Fabaceae,Vicia,Vicia sepium
Apocynaceae,Vinca,Vinca minor
Violaceae,Viola,Viola reichenbachiana
Violaceae,Viola,Viola riviniana
Sapindaceae,Aesculus,Aesculus hippocastanum
Boraginaceae,Anchusa,Anchusa officinalis
Fabaceae,Anthyllis,Anthyllis vulneraria
Asteraceae,Arctium,Arctium lappa
Asteraceae,Artemisia,Artemisia vulgaris
Apiaceae,Berula,Berula erecta
Betulaceae,Betula,Betula pendula
Poaceae,Bromus,Bromus hordeaceus
Poaceae,Bromus,Bromus sterilis
Asteraceae,Cirsium,Cirsium vulgare
Convolvulaceae,Convolvulus,Convolvulus arvensis
Apiaceae,Daucus,Daucus carota
Caprifoliaceae,Dipsacus,Dipsacus fullonum
Boraginaceae,Echium,Echium vulgare
Cyperaceae,Eleocharis,Eleocharis palustris
Rosaceae,Fragaria,Fragaria vesca
Liliaceae,Gagea,Gagea lutea
Rubiaceae,Galium,Galium uliginosum
Geraniaceae,Geranium,Geranium dissectum
Geraniaceae,Geranium,Geranium pyrenaicum
Poaceae,Glyceria,Glyceria maxima
Aquifoliaceae,Ilex,Ilex aquifolium
Asteraceae,Jacobaea,Jacobaea vulgaris
Juncaceae,Juncus,Juncus inflexus
Lamiaceae,Lamium,Lamium album
Lamiaceae,Lamium,Lamium purpureum
Asteraceae,Leucanthemum,Leucanthemum vulgare
Oleaceae,Ligustrum,Ligustrum vulgare
Poaceae,Lolium,Lolium perenne
Fabaceae,Lotus,Lotus pedunculatus
Primulaceae,Lysimachia,Lysimachia nemorum
Primulaceae,Lysimachia,Lysimachia punctata
Fabaceae,Medicago,Medicago sativa
Fabaceae,Melilotus,Melilotus albus
Boraginaceae,Myosotis,Myosotis arvensis
Polygonaceae,Persicaria,Persicaria amphibia
Polygonaceae,Persicaria,Persicaria hydropiper
Polygonaceae,Persicaria,Persicaria maculosa
Poaceae,Phalaris,Phalaris arundinacea
Asteraceae,Pilosella,Pilosella aurantiaca
Rosaceae,Prunus,Prunus laurocerasus
Brassicaceae,Rorippa,Rorippa palustris
Rosaceae,Rosa,Rosa rugosa
Polygonaceae,Rumex,Rumex hydrolapathum
Salicaceae,Salix,Salix viminalis
Apiaceae,Sanicula,Sanicula europaea
Caryophyllaceae,Saponaria,Saponaria officinalis
Cyperaceae,Schoenoplectus,Schoenoplectus lacustris
Caryophyllaceae,Silene,Silene vulgaris
Typhaceae,Sparganium,Sparganium erectum
Caryophyllaceae,Stellaria,Stellaria media
Caprifoliaceae,Symphoricarpos,Symphoricarpos albus
Oleaceae,Syringa,Syringa vulgaris
Fabaceae,Trifolium,Trifolium arvense
Fabaceae,Trifolium,Trifolium campestre
Asteraceae,Tripleurospermum,Tripleurospermum inodorum
Typhaceae,Typha,Typha angustifolia
Caprifoliaceae,Valeriana,Valeriana excelsa
Plantaginaceae,Veronica,Veronica anagallis-aquatica
Plantaginaceae,Veronica,Veronica arvensis
Plantaginaceae,Veronica,Veronica persica
Fabaceae,Vicia,Vicia hirsuta
Violaceae,Viola,Viola arvensis
Violaceae,Viola,Viola odorata
Poaceae,Briza,Briza media
Cyperaceae,Carex,Carex flacca
Araceae,Lemna,Lemna trisulca
Mniaceae,Plagiomnium,Plagiomnium elatum
Ceratophyllaceae,Ceratophyllum,Ceratophyllum submersum
Asteraceae,Taraxacum,Taraxacum officinale
Cyperaceae,Carex,Carex panicea
Asteraceae,Centaurea,Centaurea cyanus
Ranunculaceae,Eranthis,Eranthis hyemalis
Potamogetonaceae,Potamogeton,Potamogeton berchtoldii
Nymphaeaceae,Nymphaea,Nymphaea alba
Hydrophyllaceae,Phacelia,Phacelia tanacetifolia
Hydrocharitaceae,Stratiotes,Stratiotes aloides
Asteraceae,Arctium,Arctium nemorosum
Fabaceae,Astragalus,Astragalus glycyphyllos
Cyperaceae,Carex,Carex pseudocyperus
Cyperaceae,Carex,Carex spicata
Rosaceae,Crataegus,Crataegus rhipidophylla
Poaceae,Elymus,Elymus caninus
Onagraceae,Epilobium,Epilobium obscurum
Onagraceae,Epilobium,Epilobium roseum
Onagraceae,Epilobium,Epilobium tetragonum
Lamiaceae,Galeopsis,Galeopsis tetrahit
Geraniaceae,Geranium,Geranium sanguineum
Geraniaceae,Geranium,Geranium sylvaticum
Cyperaceae,Isolepis,Isolepis setacea
Rosaceae,Malus,Malus domestica
Rosaceae,Malus,Malus sylvestris
Grossulariaceae,Ribes,Ribes rubrum
Salicaceae,Salix,Salix aurita
Cyperaceae,Schoenoplectus,Schoenoplectus tabernaemontani
Malvaceae,Tilia,Tilia platyphyllos
Apiaceae,Aethusa,Aethusa cynapium
Campanulaceae,Campanula,Campanula trachelium
Poaceae,Catabrosa,Catabrosa aquatica
Caryophyllaceae,Cerastium,Cerastium glomeratum
Asteraceae,Crepis,Crepis capillaris
Asteraceae,Gnaphalium,Gnaphalium uliginosum
Juncaceae,Juncus,Juncus articulatus
Caryophyllaceae,Moehringia,Moehringia trinervia
Boraginaceae,Myosotis,Myosotis sylvatica
Fabaceae,Onobrychis,Onobrychis viciifolia
Papaveraceae,Papaver,Papaver rhoeas
Primulaceae,Primula,Primula veris
Grossulariaceae,Ribes,Ribes alpinum
Brassicaceae,Rorippa,Rorippa amphibia
Rosaceae,Rosa,Rosa multiflora
Caryophyllaceae,Sagina,Sagina micropetala
Salicaceae,Salix,Salix fragilis
Brassicaceae,Sinapis,Sinapis arvensis
Caryophyllaceae,Stellaria,Stellaria neglecta
Apiaceae,Torilis,Torilis japonica
Plantaginaceae,Veronica,Veronica filiformis
Asteraceae,Arctium,Arctium minus
